v1	V(n001)	V(n003)	V(n004)	-I(R1)	-I(R2)
0.000000000000000e+00	3.000000e+00	3.000000e+00	1.011690e-07	-3.065728e-12	3.090202e-12
1.000000000000000e-02	3.000000e+00	3.000000e+00	1.000010e-02	-3.044806e-12	3.089791e-12
2.000000000000000e-02	3.000000e+00	3.000000e+00	2.000010e-02	-3.023323e-12	3.099048e-12
3.000000000000000e-02	3.000000e+00	3.000000e+00	3.000010e-02	-3.001570e-12	3.114375e-12
4.000000000000000e-02	3.000000e+00	3.000000e+00	4.000010e-02	-2.979305e-12	3.140899e-12
5.000000000000000e-02	3.000000e+00	3.000000e+00	5.000010e-02	-2.956371e-12	3.185180e-12
6.000000000000000e-02	3.000000e+00	3.000000e+00	6.000010e-02	-2.932570e-12	3.254882e-12
7.000000000000001e-02	3.000000e+00	3.000000e+00	7.000010e-02	-2.907623e-12	3.361246e-12
8.000000000000000e-02	3.000000e+00	3.000000e+00	8.000010e-02	-2.881220e-12	3.521429e-12
9.000000000000000e-02	3.000000e+00	3.000000e+00	9.000009e-02	-2.852882e-12	3.761612e-12
9.999999999999999e-02	3.000000e+00	3.000000e+00	1.000001e-01	-2.822003e-12	4.118596e-12
1.100000000000000e-01	3.000000e+00	3.000000e+00	1.100001e-01	-2.787812e-12	4.647067e-12
1.200000000000000e-01	3.000000e+00	3.000000e+00	1.200001e-01	-2.749265e-12	5.426660e-12
1.300000000000000e-01	3.000000e+00	3.000000e+00	1.300001e-01	-2.704956e-12	6.575277e-12
1.400000000000000e-01	3.000000e+00	3.000000e+00	1.400001e-01	-2.653029e-12	8.263717e-12
1.500000000000000e-01	3.000000e+00	3.000000e+00	1.500001e-01	-2.590972e-12	1.074537e-11
1.600000000000000e-01	3.000000e+00	3.000000e+00	1.600001e-01	-2.515429e-12	1.438998e-11
1.700000000000000e-01	3.000000e+00	3.000000e+00	1.700001e-01	-2.421874e-12	1.974071e-11
1.800000000000000e-01	3.000000e+00	3.000000e+00	1.800001e-01	-2.304154e-12	2.759240e-11
1.900000000000000e-01	3.000000e+00	3.000000e+00	1.900001e-01	-2.153857e-12	3.911436e-11
2.000000000000000e-01	3.000000e+00	3.000000e+00	2.000001e-01	-1.959505e-12	5.601773e-11
2.100000000000000e-01	3.000000e+00	3.000000e+00	2.100001e-01	-1.705338e-12	8.081480e-11
2.200000000000001e-01	3.000000e+00	3.000000e+00	2.200000e-01	-1.369484e-12	1.171895e-10
2.300000000000001e-01	3.000000e+00	3.000000e+00	2.300000e-01	-9.218332e-13	1.705466e-10
2.400000000000001e-01	3.000000e+00	3.000000e+00	2.400000e-01	-3.202045e-13	2.488105e-10
2.500000000000001e-01	3.000000e+00	3.000000e+00	2.500000e-01	4.942087e-13	3.636065e-10
2.600000000000001e-01	3.000000e+00	3.000000e+00	2.600000e-01	1.603997e-12	5.319846e-10
2.700000000000001e-01	3.000000e+00	2.999999e+00	2.699999e-01	3.125668e-12	7.789511e-10
2.800000000000001e-01	3.000000e+00	2.999999e+00	2.799998e-01	5.223864e-12	1.141185e-09
2.900000000000001e-01	3.000000e+00	2.999998e+00	2.899997e-01	8.132359e-12	1.672480e-09
3.000000000000001e-01	3.000000e+00	2.999998e+00	2.999996e-01	1.218389e-11	2.451740e-09
3.100000000000001e-01	3.000000e+00	2.999996e+00	3.099994e-01	1.785382e-11	3.594684e-09
3.200000000000001e-01	3.000000e+00	2.999995e+00	3.199992e-01	2.582259e-11	5.271035e-09
3.300000000000001e-01	3.000000e+00	2.999992e+00	3.299988e-01	3.706719e-11	7.729716e-09
3.400000000000001e-01	3.000000e+00	2.999989e+00	3.399982e-01	5.299352e-11	1.133578e-08
3.500000000000001e-01	3.000000e+00	2.999983e+00	3.499975e-01	7.562839e-11	1.662462e-08
3.600000000000002e-01	3.000000e+00	2.999976e+00	3.599964e-01	1.078998e-10	2.438131e-08
3.700000000000002e-01	3.000000e+00	2.999964e+00	3.699949e-01	1.540446e-10	3.575706e-08
3.800000000000002e-01	3.000000e+00	2.999948e+00	3.799927e-01	2.202015e-10	5.243972e-08
3.900000000000002e-01	3.000000e+00	2.999923e+00	3.899896e-01	3.152771e-10	7.690352e-08
4.000000000000002e-01	3.000000e+00	2.999887e+00	3.999851e-01	4.522064e-10	1.127745e-07
4.100000000000002e-01	3.000000e+00	2.999835e+00	4.099786e-01	6.497881e-10	1.653650e-07
4.200000000000002e-01	3.000000e+00	2.999758e+00	4.199691e-01	9.353570e-10	2.424535e-07
4.300000000000002e-01	3.000000e+00	2.999645e+00	4.299555e-01	1.348665e-09	3.554211e-07
4.400000000000002e-01	3.000000e+00	2.999479e+00	4.399357e-01	1.947501e-09	5.209013e-07
4.500000000000002e-01	3.000000e+00	2.999237e+00	4.499071e-01	2.815802e-09	7.631654e-07
4.600000000000002e-01	3.000000e+00	2.998883e+00	4.598655e-01	4.075269e-09	1.117545e-06
4.700000000000003e-01	3.000000e+00	2.998365e+00	4.698052e-01	5.901856e-09	1.635300e-06
4.800000000000003e-01	3.000000e+00	2.997610e+00	4.797179e-01	8.548814e-09	2.390426e-06
4.900000000000003e-01	3.000000e+00	2.996511e+00	4.895915e-01	1.237820e-08	3.488973e-06
5.000000000000002e-01	3.000000e+00	2.994919e+00	4.994092e-01	1.790247e-08	5.081366e-06
5.100000000000002e-01	3.000000e+00	2.992622e+00	5.091474e-01	2.583653e-08	7.377808e-06
5.200000000000002e-01	3.000000e+00	2.989334e+00	5.187738e-01	3.715712e-08	1.066588e-05
5.300000000000002e-01	3.000000e+00	2.984673e+00	5.282457e-01	5.315998e-08	1.532743e-05
5.400000000000003e-01	3.000000e+00	2.978151e+00	5.375087e-01	7.549507e-08	2.184892e-05
5.500000000000003e-01	3.000000e+00	2.969184e+00	5.464971e-01	1.061491e-07	3.081603e-05
5.600000000000003e-01	3.000000e+00	2.957118e+00	5.551378e-01	1.473416e-07	4.288235e-05
5.700000000000003e-01	3.000000e+00	2.941293e+00	5.633565e-01	2.013174e-07	5.870733e-05
5.800000000000003e-01	3.000000e+00	2.921129e+00	5.710879e-01	2.700634e-07	7.887146e-05
5.900000000000003e-01	3.000000e+00	2.896208e+00	5.782841e-01	3.550264e-07	1.037920e-04
6.000000000000003e-01	3.000000e+00	2.866332e+00	5.849214e-01	4.569285e-07	1.336683e-04
6.100000000000003e-01	3.000000e+00	2.831526e+00	5.910006e-01	5.757390e-07	1.684736e-04
6.200000000000003e-01	3.000000e+00	2.792009e+00	5.965439e-01	7.107900e-07	2.079906e-04
6.300000000000003e-01	3.000000e+00	2.748130e+00	6.015880e-01	8.609711e-07	2.518698e-04
6.400000000000003e-01	3.000000e+00	2.700308e+00	6.061772e-01	1.024933e-06	2.996916e-04
6.500000000000004e-01	3.000000e+00	2.648985e+00	6.103587e-01	1.201251e-06	3.510152e-04
6.600000000000004e-01	3.000000e+00	2.594587e+00	6.141781e-01	1.388541e-06	4.054127e-04
6.700000000000004e-01	3.000000e+00	2.537512e+00	6.176779e-01	1.585518e-06	4.624882e-04
6.800000000000004e-01	3.000000e+00	2.478114e+00	6.208961e-01	1.791028e-06	5.218859e-04
6.900000000000004e-01	3.000000e+00	2.416708e+00	6.238663e-01	2.004053e-06	5.832926e-04
7.000000000000004e-01	3.000000e+00	2.353565e+00	6.266177e-01	2.223707e-06	6.464353e-04
7.100000000000004e-01	3.000000e+00	2.288922e+00	6.291756e-01	2.449224e-06	7.110778e-04
7.200000000000004e-01	3.000000e+00	2.222984e+00	6.315620e-01	2.679939e-06	7.770162e-04
7.300000000000004e-01	3.000000e+00	2.155925e+00	6.337957e-01	2.915283e-06	8.440746e-04
7.400000000000004e-01	3.000000e+00	2.087898e+00	6.358929e-01	3.154761e-06	9.121014e-04
7.500000000000004e-01	3.000000e+00	2.019035e+00	6.378677e-01	3.397947e-06	9.809653e-04
7.600000000000005e-01	3.000000e+00	1.949447e+00	6.397324e-01	3.644471e-06	1.050553e-03
7.700000000000005e-01	3.000000e+00	1.879236e+00	6.414977e-01	3.894010e-06	1.120764e-03
7.800000000000005e-01	3.000000e+00	1.808486e+00	6.431727e-01	4.146283e-06	1.191514e-03
7.900000000000005e-01	3.000000e+00	1.737273e+00	6.447656e-01	4.401043e-06	1.262727e-03
8.000000000000005e-01	3.000000e+00	1.665664e+00	6.462836e-01	4.658073e-06	1.334336e-03
8.100000000000005e-01	3.000000e+00	1.593717e+00	6.477330e-01	4.917181e-06	1.406283e-03
8.200000000000005e-01	3.000000e+00	1.521483e+00	6.491194e-01	5.178199e-06	1.478517e-03
8.300000000000005e-01	3.000000e+00	1.449009e+00	6.504479e-01	5.440973e-06	1.550991e-03
8.400000000000005e-01	3.000000e+00	1.376335e+00	6.517227e-01	5.705372e-06	1.623665e-03
8.500000000000005e-01	3.000000e+00	1.303497e+00	6.529480e-01	5.971273e-06	1.696503e-03
8.600000000000005e-01	3.000000e+00	1.230528e+00	6.541272e-01	6.238569e-06	1.769472e-03
8.700000000000006e-01	3.000000e+00	1.157457e+00	6.552637e-01	6.507162e-06	1.842543e-03
